,Unnamed: 0,timestamp,mac,boardtype,boardid,temp_max,temp_min,temp_avg,light_max,light_min,light_avg,humidity_min,humidity_max,humidity_avg,model,latitude,longitude,elevation,location,rowid,Position,cluster_label
1,2,12/15/2014 01:45:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.8,44.8,44.8,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215014500,,1
2,7,12/15/2014 01:55:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,97.2,97.2,97.2,44.5,44.5,44.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141215015500,,1
3,291,12/16/2014 03:15:00 AM,0013a20040b516f6,1,507,32.3,32.3,32.3,95.2,95.2,95.2,10.9,10.9,10.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216031500,,1
4,300,12/16/2014 03:35:00 AM,0013a20040b516f6,1,507,30.6,30.6,30.6,95.2,95.2,95.2,11.9,11.9,11.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216033500,,1
5,307,12/16/2014 03:45:00 AM,0013a20040b516f6,1,507,31.3,31.3,31.3,97.4,97.4,97.4,13.0,13.0,13.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216034500,,1
6,325,12/16/2014 04:35:00 AM,0013a20040b516f6,1,507,30.0,30.0,30.0,95.2,95.2,95.2,11.4,11.4,11.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216043500,,1
7,333,12/16/2014 04:45:00 AM,0013a20040b516f6,1,507,29.7,29.7,29.7,93.8,93.8,93.8,10.5,10.5,10.5,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216044500,,1
8,340,12/16/2014 04:55:00 AM,0013a20040b516f6,1,507,29.4,29.4,29.4,92.7,92.7,92.7,10.1,10.1,10.1,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216045500,,1
9,346,12/16/2014 05:05:00 AM,0013a20040b516f6,1,507,29.4,29.4,29.4,94.6,94.6,94.6,10.1,10.1,10.1,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216050500,,1
10,353,12/16/2014 05:15:00 AM,0013a20040b516f6,1,507,28.4,28.4,28.4,92.7,92.7,92.7,10.0,10.0,10.0,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216051500,,1
11,360,12/16/2014 05:25:00 AM,0013a20040b516f6,1,507,28.1,28.1,28.1,91.2,91.2,91.2,10.9,10.9,10.9,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216052500,,1
12,368,12/16/2014 05:35:00 AM,0013a20040b516f6,1,507,27.7,27.7,27.7,89.1,89.1,89.1,11.2,11.2,11.2,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216053500,,1
13,375,12/16/2014 05:50:00 AM,0013a20040b516f6,1,507,21.3,21.3,21.3,91.3,91.3,91.3,39.6,39.6,39.6,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216055000,,1
14,383,12/16/2014 06:00:00 AM,0013a20040b516f6,1,507,21.6,21.6,21.6,96.7,96.7,96.7,38.4,38.4,38.4,ENV,-37.8149218,144.9822582,38.79,Fitzroy Gardens,507-20141216060000,,1
